session_id,n_gaze_samples,n_fixations,fixation_mean_dur,fixation_median_dur,fixation_std_dur,n_saccades,saccade_mean_amp,saccade_std_amp,saccade_mean_vel,regressions_count,scanpath_entropy,reading_speed_wpm,total_reading_time_ms,accuracy,errors_count,stt_confidence,screen_w,screen_h,device_agent
,50,5,0.0,0.0,0.0,5,4.429296555029678,2.6843276855072076,29555.10770272977,1,0.14144054254182067,,,,,,,,
,167,30,1.5158121908031064,0.0,3.408416803464689,30,31.996044574310016,53.37581303326628,88698.35404426183,13,0.0,,,,,,,,
,338,50,0.04078847386078792,0.0,0.20120622442199707,50,44.83256850139403,43.603169554628124,107151.78249941664,23,0.02911668108015386,,,,,,,,
,277,55,0.004111271831440759,0.0,0.030211554542722653,55,96.6983893063361,75.8034393017463,403658.2417900885,24,0.0344903607395326,,,,,,,,
,229,36,0.052192671657891765,0.0,0.19165350928708244,36,3194.881092017802,3249.3257431577535,11835844.021344302,19,0.0,,,,,,,,
,276,33,0.0976594951592605,0.0,0.46963112799944273,33,3580.505700396184,3355.669059923431,2762735.367845625,13,0.0,,,,,,,,
,301,38,0.058049455083017905,0.0,0.23098180649959305,38,3870.3887385581384,3316.573357688896,3516615.006727787,16,0.0,,,,,,,,
,326,45,0.035517574313320845,0.0,0.13803828438023155,45,3797.5879801282163,3593.899959166531,5148332.956257383,21,0.0,,,,,,,,
,356,55,0.08053659509508344,0.0,0.32558801527823583,55,3737.834944180129,4087.979815423481,7359474.448033651,28,0.0,,,,,,,,
,368,54,0.08202801352277017,0.0,0.3284026803865442,54,3904.1536148828745,4293.1900152418675,8588470.769262474,28,0.0,,,,,,,,
d7fe7920-fdf3-49fa-9d5c-1e4efc942cd2,235,1,6510.0,6510.0,0.0,0,0.0,0.0,0.0,0,1.9022180716503512,0.0,7174.0,,,,,,
d7fe7920-fdf3-49fa-9d5c-1e4efc942cd2,338,1,7148.0,7148.0,0.0,0,0.0,0.0,0.0,0,2.268418045571358,0.0,7674.0,,,,,,
d7fe7920-fdf3-49fa-9d5c-1e4efc942cd2,106,1,6409.0,6409.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,6528.0,,,,,,
d7fe7920-fdf3-49fa-9d5c-1e4efc942cd2,660,1,17755.0,17755.0,0.0,0,0.0,0.0,0.0,0,1.8659786684837814,0.0,18315.0,,,,,,
d7fe7920-fdf3-49fa-9d5c-1e4efc942cd2,333,1,19513.0,19513.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,20984.0,,,,,,
4c7273cf-671b-41bd-804e-ff170fe94845,542,1,15813.0,15813.0,0.0,0,0.0,0.0,0.0,0,2.134648166844097,0.0,18322.0,,,,,,
4c7273cf-671b-41bd-804e-ff170fe94845,253,1,7894.0,7894.0,0.0,0,0.0,0.0,0.0,0,1.5419556236254208,0.0,8589.0,,,,,,
4c7273cf-671b-41bd-804e-ff170fe94845,49,1,2780.0,2780.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,5264.0,,,,,,
33cae1b6-91b7-441c-96f2-609ca2ec793e,290,1,7316.0,7316.0,0.0,0,0.0,0.0,0.0,0,2.214642545168142,0.0,9526.0,,,,,,
33cae1b6-91b7-441c-96f2-609ca2ec793e,423,1,12859.0,12859.0,0.0,0,0.0,0.0,0.0,0,1.8940847129038454,0.0,13549.0,,,,,,
33cae1b6-91b7-441c-96f2-609ca2ec793e,481,1,18493.0,18493.0,0.0,0,0.0,0.0,0.0,0,1.3242340081520414,0.0,27730.0,,,,,,
4d4a78f5-2217-4299-88cf-bcb2873ab3b7,303,1,9738.0,9738.0,0.0,0,0.0,0.0,0.0,0,1.5767519993421686,0.0,11047.0,,,,,,
